Receipt_Count,Day,Year,DayOfWeekEncoded,MonthEncoded
7564766,1,2021,0,4
7455524,2,2021,2,4
7095414,3,2021,3,4
7666163,4,2021,1,4
7771289,5,2021,5,4
7473320,6,2021,6,4
7832624,7,2021,4,4
7765028,8,2021,0,4
7385245,9,2021,2,4
7392087,10,2021,3,4
7738899,11,2021,1,4
7840830,12,2021,5,4
8122546,13,2021,6,4
7694195,14,2021,4,4
7200595,15,2021,0,4
7744470,16,2021,2,4
7610648,17,2021,3,4
7880913,18,2021,1,4
7250032,19,2021,5,4
7666397,20,2021,6,4
7742477,21,2021,4,4
7807438,22,2021,0,4
7603625,23,2021,2,4
7572947,24,2021,3,4
7598153,25,2021,1,4
7194687,26,2021,5,4
7787109,27,2021,6,4
7631075,28,2021,4,4
7750536,29,2021,0,4
8059526,30,2021,2,4
7838129,31,2021,3,4
7714465,1,2021,1,3
7766408,2,2021,5,3
7832259,3,2021,6,3
7506461,4,2021,4,3
7816477,5,2021,0,3
7360372,6,2021,2,3
8039414,7,2021,3,3
7858632,8,2021,1,3
7810951,9,2021,5,3
7579882,10,2021,6,3
8127696,11,2021,4,3
7748085,12,2021,0,3
8117805,13,2021,2,3
7780006,14,2021,3,3
7916028,15,2021,1,3
7736671,16,2021,5,3
8082781,17,2021,6,3
7824063,18,2021,4,3
7761256,19,2021,0,3
7821879,20,2021,2,3
7760399,21,2021,3,3
8330147,22,2021,1,3
8053953,23,2021,5,3
7816117,24,2021,6,3
8156649,25,2021,4,3
7857443,26,2021,0,3
7881212,27,2021,2,3
7975949,28,2021,3,3
7970632,1,2021,1,7
7998865,2,2021,5,7
7748662,3,2021,6,7
8080043,4,2021,4,7
7971011,5,2021,0,7
8309959,6,2021,2,7
7945271,7,2021,3,7
8352635,8,2021,1,7
7861647,9,2021,5,7
7920726,10,2021,6,7
7921232,11,2021,4,7
8142874,12,2021,0,7
7731725,13,2021,2,7
8070687,14,2021,3,7
7825047,15,2021,1,7
7920469,16,2021,5,7
7946897,17,2021,6,7
8090998,18,2021,4,7
8415152,19,2021,0,7
8325436,20,2021,2,7
8105278,21,2021,3,7
7562433,22,2021,1,7
8096085,23,2021,5,7
8034268,24,2021,6,7
8050876,25,2021,4,7
8077321,26,2021,0,7
7999117,27,2021,2,7
8082481,28,2021,3,7
8126444,29,2021,1,7
7911341,30,2021,5,7
8013013,31,2021,6,7
8353242,1,2021,4,0
8042185,2,2021,0,0
8401675,3,2021,2,0
8134408,4,2021,3,0
8422480,5,2021,1,0
8140096,6,2021,5,0
8385138,7,2021,6,0
8619576,8,2021,4,0
7961949,9,2021,0,0
8388608,10,2021,2,0
8458290,11,2021,3,0
8206730,12,2021,1,0
8319338,13,2021,5,0
8726486,14,2021,6,0
8342572,15,2021,4,0
8438884,16,2021,0,0
8186918,17,2021,2,0
8195134,18,2021,3,0
8366630,19,2021,1,0
8282495,20,2021,5,0
8641338,21,2021,6,0
8521710,22,2021,4,0
8255078,23,2021,0,0
8221890,24,2021,2,0
8509398,25,2021,3,0
8055670,26,2021,1,0
8266410,27,2021,5,0
8367438,28,2021,6,0
8704248,29,2021,4,0
8728816,30,2021,0,0
8231674,1,2021,2,8
8278534,2,2021,3,8
8727522,3,2021,1,8
8649710,4,2021,5,8
8519563,5,2021,6,8
8435867,6,2021,4,8
8227322,7,2021,0,8
8383810,8,2021,2,8
8109287,9,2021,3,8
8518147,10,2021,1,8
8472640,11,2021,5,8
8359580,12,2021,6,8
8262562,13,2021,4,8
8503389,14,2021,0,8
8498352,15,2021,2,8
9066670,16,2021,3,8
8744235,17,2021,1,8
8688343,18,2021,5,8
8475700,19,2021,6,8
8471826,20,2021,4,8
9020316,21,2021,0,8
8399861,22,2021,2,8
8387758,23,2021,3,8
8637948,24,2021,1,8
8088783,25,2021,5,8
8148275,26,2021,6,8
8682340,27,2021,4,8
8879871,28,2021,0,8
8680501,29,2021,2,8
8083372,30,2021,3,8
8517990,31,2021,1,8
8491801,1,2021,5,6
9031534,2,2021,6,6
8319351,3,2021,4,6
8553246,4,2021,0,6
8534097,5,2021,2,6
8462584,6,2021,3,6
8691699,7,2021,1,6
8686964,8,2021,5,6
8550358,9,2021,6,6
8143101,10,2021,4,6
8645316,11,2021,0,6
8928652,12,2021,2,6
9082265,13,2021,3,6
8796515,14,2021,1,6
8629607,15,2021,5,6
8827278,16,2021,6,6
8946278,17,2021,4,6
8390857,18,2021,0,6
8782778,19,2021,2,6
8817338,20,2021,3,6
8543719,21,2021,1,6
8590990,22,2021,5,6
8774391,23,2021,6,6
8913737,24,2021,4,6
8665876,25,2021,0,6
8707038,26,2021,2,6
8869334,27,2021,3,6
9186579,28,2021,1,6
8372464,29,2021,5,6
8721093,30,2021,6,6
8704509,1,2021,4,5
8939614,2,2021,0,5
9267015,3,2021,2,5
8544557,4,2021,3,5
8735065,5,2021,1,5
8326629,6,2021,5,5
8831147,7,2021,6,5
8857992,8,2021,4,5
9160117,9,2021,0,5
8672036,10,2021,2,5
8670423,11,2021,3,5
8869283,12,2021,1,5
8686309,13,2021,5,5
8654144,14,2021,6,5
8860853,15,2021,4,5
9198488,16,2021,0,5
8960260,17,2021,2,5
9122667,18,2021,3,5
9138658,19,2021,1,5
8987305,20,2021,5,5
8899455,21,2021,6,5
9017914,22,2021,4,5
8480182,23,2021,0,5
8603099,24,2021,2,5
8636410,25,2021,3,5
8996817,26,2021,1,5
9024807,27,2021,5,5
9329236,28,2021,6,5
8979426,29,2021,4,5
8909272,30,2021,0,5
8712314,31,2021,2,5
8861903,1,2021,3,1
8913143,2,2021,1,1
9223398,3,2021,5,1
9410437,4,2021,6,1
9212329,5,2021,4,1
9062121,6,2021,0,1
9432522,7,2021,2,1
9111057,8,2021,3,1
8971236,9,2021,1,1
8799249,10,2021,5,1
9127038,11,2021,6,1
9362940,12,2021,4,1
9077857,13,2021,0,1
9413465,14,2021,2,1
8950079,15,2021,3,1
9215173,16,2021,1,1
9056307,17,2021,5,1
8968187,18,2021,6,1
9357610,19,2021,4,1
8971426,20,2021,0,1
9238276,21,2021,2,1
9372279,22,2021,3,1
9589375,23,2021,1,1
8961875,24,2021,5,1
9160096,25,2021,6,1
9052229,26,2021,4,1
8778271,27,2021,0,1
9245534,28,2021,2,1
9384023,29,2021,3,1
9474742,30,2021,1,1
9189054,31,2021,5,1
9167277,1,2021,6,11
9123056,2,2021,4,11
9251321,3,2021,0,11
9377700,4,2021,2,11
9782022,5,2021,3,11
8930331,6,2021,1,11
9718666,7,2021,5,11
9262001,8,2021,6,11
9095889,9,2021,4,11
9364629,10,2021,0,11
9508131,11,2021,2,11
9264013,12,2021,3,11
9461281,13,2021,1,11
9032235,14,2021,5,11
9574777,15,2021,6,11
9189740,16,2021,4,11
9508023,17,2021,0,11
9580631,18,2021,2,11
9697272,19,2021,3,11
9292315,20,2021,1,11
9090518,21,2021,5,11
9294810,22,2021,6,11
9400956,23,2021,4,11
9871832,24,2021,0,11
9569204,25,2021,2,11
9583588,26,2021,3,11
9412385,27,2021,1,11
9221235,28,2021,5,11
9328174,29,2021,6,11
9192142,30,2021,4,11
9432155,1,2021,0,10
9755500,2,2021,2,10
9562636,3,2021,3,10
9497084,4,2021,1,10
9656472,5,2021,5,10
9461320,6,2021,6,10
9363588,7,2021,4,10
9834844,8,2021,0,10
9113802,9,2021,2,10
9290592,10,2021,3,10
9282316,11,2021,1,10
9725761,12,2021,5,10
9449353,13,2021,6,10
9492895,14,2021,4,10
9599402,15,2021,0,10
9664876,16,2021,2,10
9702569,17,2021,3,10
9574962,18,2021,1,10
9540428,19,2021,5,10
9617606,20,2021,6,10
9509561,21,2021,4,10
9417190,22,2021,0,10
9748484,23,2021,2,10
9476970,24,2021,3,10
9373507,25,2021,1,10
9646801,26,2021,5,10
9635634,27,2021,6,10
9530612,28,2021,4,10
9627467,29,2021,0,10
9879362,30,2021,2,10
9501436,31,2021,3,10
9631220,1,2021,1,9
10004975,2,2021,5,9
9749567,3,2021,6,9
9925777,4,2021,4,9
9863408,5,2021,0,9
9933505,6,2021,2,9
9383028,7,2021,3,9
9607159,8,2021,1,9
9707735,9,2021,5,9
9691895,10,2021,6,9
9854091,11,2021,4,9
9695957,12,2021,0,9
10047149,13,2021,2,9
9845653,14,2021,3,9
9656831,15,2021,1,9
10285056,16,2021,5,9
9606579,17,2021,6,9
9928425,18,2021,4,9
9980182,19,2021,0,9
9915679,20,2021,2,9
9837099,21,2021,3,9
9608834,22,2021,1,9
9893666,23,2021,5,9
9897017,24,2021,6,9
10129048,25,2021,4,9
9828852,26,2021,0,9
10014982,27,2021,2,9
10057900,28,2021,3,9
10204676,29,2021,1,9
10299217,30,2021,5,9
9731627,1,2021,6,2
9674146,2,2021,4,2
9679469,3,2021,0,2
10060861,4,2021,2,2
9771507,5,2021,3,2
9726983,6,2021,1,2
10152789,7,2021,5,2
9961637,8,2021,6,2
9888931,9,2021,4,2
10016144,10,2021,0,2
10025271,11,2021,2,2
10013123,12,2021,3,2
10144930,13,2021,1,2
10246870,14,2021,5,2
9838107,15,2021,6,2
9845904,16,2021,4,2
10220516,17,2021,0,2
9835059,18,2021,2,2
9572522,19,2021,3,2
10379305,20,2021,1,2
9680446,21,2021,5,2
10124238,22,2021,6,2
9464659,23,2021,4,2
9703857,24,2021,0,2
10045897,25,2021,2,2
10738865,26,2021,3,2
10350408,27,2021,1,2
10219445,28,2021,5,2
10313337,29,2021,6,2
10310644,30,2021,4,2
10211187,31,2021,0,2
